
a,a,d
no one,no one,
note down,note down,
occur to,occur to,
one another,one another,
open up,open up,
ought to,ought to,
own up,own up,
pace 1,pace 1,
pack up,pack up,
pan 1,pan 1,
pass away,pass away,
pass by,pass by,
pass on,pass on,
pass out,pass out,
pass round,pass round,
pass through,pass through,
pay back,pay back,
pay out,pay out,
pay up,pay up,
pension 1,pension 1,
per cent,per cent,
pick up,pick up,
pile up,pile up,
play about,play about,
play with,play with,
plug in,plug in,
plus 1,plus 1,
point out,point out,
post office,post office,
prime minister,prime minister,
print off,print off,
process 1,process 1,
pull apart,pull apart,
pull down,pull down,
pull in,pull in,
pull off,pull off,
pull out,pull out,
pull over,pull over,
pull through,pull through,
pull together,pull together,
pull up,pull up,
push about,push about,
push forward,push forward,
put away,put away,
put back,put back,
put down,put down,
put forward,put forward,
put in,put in,
put off,put off,
put on,put on,
put out,put out,
put through,put through,
put together,put together,
put up with,put up with,
put up,put up,
read out,read out,
read over,read over,
reckon on,reckon on,
refer to,refer to,
refuse 1,refuse 1,
relate to,relate to,
rely on,rely on,
remind of,remind of,
resort to,resort to,
result in,result in,
ring 1,ring 1,
ring 2,ring 2,
ring back,ring back,
row 1,row 1,
rule out,rule out,
run after,run after,
run away,run away,
run out,run out,
run over,run over,
run through,run through,
scare off,scare off,
seal off,seal off,
second 1,second 1,
see about,see about,
see to,see to,
sell off,sell off,
sell out,sell out,
send for,send for,
send off,send off,
set off,set off,
set out,set out,
set up,set up,
settle down,settle down,
shoot down,shoot down,
show off,show off,
show round,show round,
show up,show up,
shut down,shut down,
shut in,shut in,
shut out,shut out,
shut up,shut up,
sit down,sit down,
sort out,sort out,
speak out,speak out,
speak up,speak up,
speed up,speed up,
split up,split up,
spread out,spread out,
stand back,stand back,
stand by,stand by,
stand for,stand for,
stand out,stand out,
stand up for,stand up for,
stand up,stand up,
start off,start off,
start out,start out,
start up,start up,
stay away,stay away,
stay out of,stay out of,
stick out,stick out,
stick to,stick to,
stick up,stick up,
sum up,sum up,
swimming pool,swimming pool,
switch off,switch off,
take away,take away,
take back,take back,
take down,take down,
take in,take in,
take off,take off,
take on,take on,
take over,take over,
take up,take up,
tear 1,tear 1,
tear 2,tear 2,
tear up,tear up,
tell off,tell off,
thank you,thank you,
the unemployed,the unemployed,
the unexpected,the unexpected,
think about,think about,
think of as,think of as,
think of,think of,
think over,think over,
think up,think up,
throw away,throw away,
throw out,throw out,
tie up,tie up,
tip over,tip over,
tire out,tire out,
try on,try on,
try out,try out,
turn back,turn back,
turn down,turn down,
turn into,turn into,
turn off,turn off,
turn on,turn on,
turn out,turn out,
turn over,turn over,
turn round,turn round,
turn to,turn to,
turn up,turn up,
upside down,upside down,
use up,use up,
used 1,used 1,
used 2,used 2,
used to,used to,
walk out,walk out,
walk up,walk up,
warm up,warm up,
wash away,wash away,
wash off,wash off,
wash out,wash out,
wash up,wash up,
watch out for,watch out for,
watch out,watch out,
wear away,wear away,
wear off,wear off,
wear out,wear out,
well known,well known,
wind 1,wind 1,
wind 2,wind 2,
work out,work out,
wound 1,wound 1,
write back,write back,
write down,write down,
